Location,Price,Bedrooms,Bathrooms,Size
Arroyo Grande,239800,5,2,1575
 Atascadero,425000,6,3,2628
 Arroyo Grande,525000,3,2,1750
 Pismo Beach,459900,3,2,1346
Atascadero,229900,3,2,1041
Out Of Area,199900,3,2,1526
 Arroyo Grande,599000,4,2,1728
Santa Maria-Orcutt,197600,4,2,1378
 Santa Maria-Orcutt,355000,2,1,1145
 Paso Robles,339900,3,2,1325
 Santa Maria-Orcutt,299000,3,3,1850
Soledad,166800,4,2,1765
Grover Beach,379000,4,2,1631
Santa Ynez,1395000,4,4,2693
Santa Maria-Orcutt,150000,3,2,1316
 San Luis Obispo,475000,3,2,1382
Santa Maria-Orcutt,265000,4,3,2300
Atascadero,265000,3,2,1617
 Los Osos,225000,2,2,1150
Paso Robles,249900,2,2,1674
 Arroyo Grande,509000,3,2,1543
 Paso Robles,214900,2,2,1351
 Arroyo Grande,5499000,4,5,5060
 Santa Maria-Orcutt,349900,3,2,2000
 Solvang,125000,2,2,1536
Cambria,549000,2,2,924
 Cambria,865000,3,3,1860
 Bradley,1600000,3,3,2640
 Nipomo,1065000,4,4,3395
Templeton,625000,3,2,1850
 Santa Maria-Orcutt,249999,3,2,1000
 Arroyo Grande,975000,4,3,2720
Oceano,204900,2,1,992
 Atascadero,355000,3,2,1737
Out Of Area,134900,3,3,1435
Santa Maria-Orcutt,199900,5,3,1671
Santa Maria-Orcutt,349900,4,3,2800
Santa Maria-Orcutt,99000,2,2,900
Coalinga,409000,4,3,2507
 Pismo Beach,339000,2,2,1440
 San Miguel,595000,3,3,2238
 Pismo Beach,849500,3,3,2725
 Paso Robles,399000,2,3,1772
 Paso Robles,399000,4,2,1947
 Solvang,525000,3,2,1720
 Paso Robles,319900,3,3,1605
 Paso Robles,495000,3,2,1877
San Luis Obispo,372000,3,2,1104
 Arroyo Grande,589000,3,2,1975
 Cambria,1100000,3,3,2392
